cohortDefinitionId,ruleSequence,name
211100002,1,No prior DPP4 inhibitor exposure
211100002,2,No prior SGLT-2 inhibitor exposure
211100002,3,No prior SU exposure
211100002,4,No prior other anti-diabetic exposure
211100002,5,Renal impairment
211100002,6,Prior metformin use
211100002,7,No prior insulin use or combo initiation
212100000,0,No prior with-in class exposure
212100000,1,No prior DPP4 inhibitor exposure
212100000,2,No prior SGLT-2 inhibitor exposure
212100000,3,No prior SU exposure
212100000,4,No prior other anti-diabetic exposure
212100000,5,Prior metformin use
212100000,6,No prior insulin use or combo initiation
212110000,0,No prior with-in class exposure
212110000,1,No prior DPP4 inhibitor exposure
212110000,2,No prior SGLT-2 inhibitor exposure
212110000,3,No prior SU exposure
212110000,4,No prior other anti-diabetic exposure
212110000,5,Lower age group
212110000,6,Prior metformin use
212110000,7,No prior insulin use or combo initiation
212120000,0,No prior with-in class exposure
212120000,1,No prior DPP4 inhibitor exposure
212120000,2,No prior SGLT-2 inhibitor exposure
212120000,3,No prior SU exposure
212120000,4,No prior other anti-diabetic exposure
212120000,5,Middle age group
212120000,6,Prior metformin use
212120000,7,No prior insulin use or combo initiation
212130000,0,No prior with-in class exposure
212130000,1,No prior DPP4 inhibitor exposure
212130000,2,No prior SGLT-2 inhibitor exposure
212130000,3,No prior SU exposure
212130000,4,No prior other anti-diabetic exposure
212130000,5,Older age group
212130000,6,Prior metformin use
212130000,7,No prior insulin use or combo initiation
212100010,0,No prior with-in class exposure
212100010,1,No prior DPP4 inhibitor exposure
212100010,2,No prior SGLT-2 inhibitor exposure
212100010,3,No prior SU exposure
212100010,4,No prior other anti-diabetic exposure
212100010,5,Low cardiovascular risk
212100010,6,Prior metformin use
212100010,7,No prior insulin use or combo initiation
212100020,0,No prior with-in class exposure
212100020,1,No prior DPP4 inhibitor exposure
212100020,2,No prior SGLT-2 inhibitor exposure
212100020,3,No prior SU exposure
212100020,4,No prior other anti-diabetic exposure
212100020,5,Higher cardiovascular risk
212100020,6,Prior metformin use
212100020,7,No prior insulin use or combo initiation
212101000,0,No prior with-in class exposure
212101000,1,No prior DPP4 inhibitor exposure
212101000,2,No prior SGLT-2 inhibitor exposure
212101000,3,No prior SU exposure
212101000,4,No prior other anti-diabetic exposure
212101000,5,Female stratum
212101000,6,Prior metformin use
212101000,7,No prior insulin use or combo initiation
212102000,0,No prior with-in class exposure
212102000,1,No prior DPP4 inhibitor exposure
212102000,2,No prior SGLT-2 inhibitor exposure
212102000,3,No prior SU exposure
212102000,4,No prior other anti-diabetic exposure
212102000,5,Male stratum
212102000,6,Prior metformin use
212102000,7,No prior insulin use or combo initiation
212100100,0,No prior with-in class exposure
212100100,1,No prior DPP4 inhibitor exposure
212100100,2,No prior SGLT-2 inhibitor exposure
212100100,3,No prior SU exposure
212100100,4,No prior other anti-diabetic exposure
212100100,5,Race stratum
212100100,6,Prior metformin use
212100100,7,No prior insulin use or combo initiation
212100001,0,No prior with-in class exposure
212100001,1,No prior DPP4 inhibitor exposure
212100001,2,No prior SGLT-2 inhibitor exposure
212100001,3,No prior SU exposure
212100001,4,No prior other anti-diabetic exposure
212100001,5,Without renal impairment
212100001,6,Prior metformin use
212100001,7,No prior insulin use or combo initiation
212100002,0,No prior with-in class exposure
212100002,1,No prior DPP4 inhibitor exposure
212100002,2,No prior SGLT-2 inhibitor exposure
212100002,3,No prior SU exposure
212100002,4,No prior other anti-diabetic exposure
212100002,5,Renal impairment
212100002,6,Prior metformin use
212100002,7,No prior insulin use or combo initiation
211200000,0,No prior with-in class exposure
211200000,1,No prior DPP4 inhibitor exposure
211200000,2,No prior SGLT-2 inhibitor exposure
211200000,3,No prior SU exposure
211200000,4,No prior other anti-diabetic exposure
211200000,5,No prior metformin use
211200000,6,No prior insulin use or combo initiation
211210000,0,No prior with-in class exposure
211210000,1,No prior DPP4 inhibitor exposure
211210000,2,No prior SGLT-2 inhibitor exposure
211210000,3,No prior SU exposure
211210000,4,No prior other anti-diabetic exposure
211210000,5,Lower age group
211210000,6,No prior metformin use
211210000,7,No prior insulin use or combo initiation
211220000,0,No prior with-in class exposure
211220000,1,No prior DPP4 inhibitor exposure
211220000,2,No prior SGLT-2 inhibitor exposure
211220000,3,No prior SU exposure
211220000,4,No prior other anti-diabetic exposure
211220000,5,Middle age group
211220000,6,No prior metformin use
211220000,7,No prior insulin use or combo initiation
211230000,0,No prior with-in class exposure
211230000,1,No prior DPP4 inhibitor exposure
211230000,2,No prior SGLT-2 inhibitor exposure
211230000,3,No prior SU exposure
211230000,4,No prior other anti-diabetic exposure
211230000,5,Older age group
211230000,6,No prior metformin use
211230000,7,No prior insulin use or combo initiation
211200010,0,No prior with-in class exposure
211200010,1,No prior DPP4 inhibitor exposure
211200010,2,No prior SGLT-2 inhibitor exposure
211200010,3,No prior SU exposure
211200010,4,No prior other anti-diabetic exposure
211200010,5,Low cardiovascular risk
211200010,6,No prior metformin use
211200010,7,No prior insulin use or combo initiation
211200020,0,No prior with-in class exposure
211200020,1,No prior DPP4 inhibitor exposure
211200020,2,No prior SGLT-2 inhibitor exposure
211200020,3,No prior SU exposure
211200020,4,No prior other anti-diabetic exposure
211200020,5,Higher cardiovascular risk
211200020,6,No prior metformin use
211200020,7,No prior insulin use or combo initiation
211201000,0,No prior with-in class exposure
211201000,1,No prior DPP4 inhibitor exposure
211201000,2,No prior SGLT-2 inhibitor exposure
211201000,3,No prior SU exposure
211201000,4,No prior other anti-diabetic exposure
211201000,5,Female stratum
211201000,6,No prior metformin use
211201000,7,No prior insulin use or combo initiation
211202000,0,No prior with-in class exposure
211202000,1,No prior DPP4 inhibitor exposure
211202000,2,No prior SGLT-2 inhibitor exposure
211202000,3,No prior SU exposure
211202000,4,No prior other anti-diabetic exposure
211202000,5,Male stratum
211202000,6,No prior metformin use
211202000,7,No prior insulin use or combo initiation
211200100,0,No prior with-in class exposure
211200100,1,No prior DPP4 inhibitor exposure
211200100,2,No prior SGLT-2 inhibitor exposure
211200100,3,No prior SU exposure
211200100,4,No prior other anti-diabetic exposure
211200100,5,Race stratum
211200100,6,No prior metformin use
211200100,7,No prior insulin use or combo initiation
211200001,0,No prior with-in class exposure
211200001,1,No prior DPP4 inhibitor exposure
211200001,2,No prior SGLT-2 inhibitor exposure
211200001,3,No prior SU exposure
211200001,4,No prior other anti-diabetic exposure
211200001,5,Without renal impairment
211200001,6,No prior metformin use
211200001,7,No prior insulin use or combo initiation
211200002,0,No prior with-in class exposure
211200002,1,No prior DPP4 inhibitor exposure
211200002,2,No prior SGLT-2 inhibitor exposure
211200002,3,No prior SU exposure
211200002,4,No prior other anti-diabetic exposure
211200002,5,Renal impairment
211200002,6,No prior metformin use
211200002,7,No prior insulin use or combo initiation
212200000,0,No prior with-in class exposure
212200000,1,No prior DPP4 inhibitor exposure
212200000,2,No prior SGLT-2 inhibitor exposure
212200000,3,No prior SU exposure
212200000,4,No prior other anti-diabetic exposure
212200000,5,No prior metformin use
212200000,6,No prior insulin use or combo initiation
212210000,0,No prior with-in class exposure
212210000,1,No prior DPP4 inhibitor exposure
212210000,2,No prior SGLT-2 inhibitor exposure
212210000,3,No prior SU exposure
212210000,4,No prior other anti-diabetic exposure
212210000,5,Lower age group
212210000,6,No prior metformin use
212210000,7,No prior insulin use or combo initiation
212220000,0,No prior with-in class exposure
212220000,1,No prior DPP4 inhibitor exposure
212220000,2,No prior SGLT-2 inhibitor exposure
212220000,3,No prior SU exposure
212220000,4,No prior other anti-diabetic exposure
212220000,5,Middle age group
212220000,6,No prior metformin use
212220000,7,No prior insulin use or combo initiation
212230000,0,No prior with-in class exposure
212230000,1,No prior DPP4 inhibitor exposure
212230000,2,No prior SGLT-2 inhibitor exposure
212230000,3,No prior SU exposure
212230000,4,No prior other anti-diabetic exposure
212230000,5,Older age group
212230000,6,No prior metformin use
212230000,7,No prior insulin use or combo initiation
212200010,0,No prior with-in class exposure
212200010,1,No prior DPP4 inhibitor exposure
212200010,2,No prior SGLT-2 inhibitor exposure
212200010,3,No prior SU exposure
212200010,4,No prior other anti-diabetic exposure
212200010,5,Low cardiovascular risk
212200010,6,No prior metformin use
212200010,7,No prior insulin use or combo initiation
212200020,0,No prior with-in class exposure
212200020,1,No prior DPP4 inhibitor exposure
212200020,2,No prior SGLT-2 inhibitor exposure
212200020,3,No prior SU exposure
212200020,4,No prior other anti-diabetic exposure
212200020,5,Higher cardiovascular risk
212200020,6,No prior metformin use
212200020,7,No prior insulin use or combo initiation
212201000,0,No prior with-in class exposure
212201000,1,No prior DPP4 inhibitor exposure
212201000,2,No prior SGLT-2 inhibitor exposure
212201000,3,No prior SU exposure
212201000,4,No prior other anti-diabetic exposure
212201000,5,Female stratum
212201000,6,No prior metformin use
212201000,7,No prior insulin use or combo initiation
212202000,0,No prior with-in class exposure
212202000,1,No prior DPP4 inhibitor exposure
212202000,2,No prior SGLT-2 inhibitor exposure
212202000,3,No prior SU exposure
212202000,4,No prior other anti-diabetic exposure
212202000,5,Male stratum
212202000,6,No prior metformin use
212202000,7,No prior insulin use or combo initiation
212200100,0,No prior with-in class exposure
212200100,1,No prior DPP4 inhibitor exposure
212200100,2,No prior SGLT-2 inhibitor exposure
212200100,3,No prior SU exposure
212200100,4,No prior other anti-diabetic exposure
212200100,5,Race stratum
212200100,6,No prior metformin use
212200100,7,No prior insulin use or combo initiation
212200001,0,No prior with-in class exposure
212200001,1,No prior DPP4 inhibitor exposure
212200001,2,No prior SGLT-2 inhibitor exposure
212200001,3,No prior SU exposure
212200001,4,No prior other anti-diabetic exposure
212200001,5,Without renal impairment
212200001,6,No prior metformin use
212200001,7,No prior insulin use or combo initiation
212200002,0,No prior with-in class exposure
212200002,1,No prior DPP4 inhibitor exposure
212200002,2,No prior SGLT-2 inhibitor exposure
212200002,3,No prior SU exposure
212200002,4,No prior other anti-diabetic exposure
212200002,5,Renal impairment
212200002,6,No prior metformin use
212200002,7,No prior insulin use or combo initiation
221100000,0,No prior with-in class exposure
221100000,1,No prior DPP4 inhibitor exposure
221100000,2,No prior SGLT-2 inhibitor exposure
221100000,3,No prior SU exposure
221100000,4,No prior other anti-diabetic exposure
221100000,5,Prior metformin use
221100000,6,No prior insulin use or combo initiation
221110000,0,No prior with-in class exposure
221110000,1,No prior DPP4 inhibitor exposure
221110000,2,No prior SGLT-2 inhibitor exposure
221110000,3,No prior SU exposure
221110000,4,No prior other anti-diabetic exposure
221110000,5,Lower age group
221110000,6,Prior metformin use
221110000,7,No prior insulin use or combo initiation
221120000,0,No prior with-in class exposure
221120000,1,No prior DPP4 inhibitor exposure
221120000,2,No prior SGLT-2 inhibitor exposure
221120000,3,No prior SU exposure
221120000,4,No prior other anti-diabetic exposure
221120000,5,Middle age group
221120000,6,Prior metformin use
221120000,7,No prior insulin use or combo initiation
221130000,0,No prior with-in class exposure
221130000,1,No prior DPP4 inhibitor exposure
221130000,2,No prior SGLT-2 inhibitor exposure
221130000,3,No prior SU exposure
221130000,4,No prior other anti-diabetic exposure
221130000,5,Older age group
221130000,6,Prior metformin use
221130000,7,No prior insulin use or combo initiation
221100010,0,No prior with-in class exposure
221100010,1,No prior DPP4 inhibitor exposure
221100010,2,No prior SGLT-2 inhibitor exposure
221100010,3,No prior SU exposure
221100010,4,No prior other anti-diabetic exposure
221100010,5,Low cardiovascular risk
221100010,6,Prior metformin use
221100010,7,No prior insulin use or combo initiation
221100020,0,No prior with-in class exposure
221100020,1,No prior DPP4 inhibitor exposure
221100020,2,No prior SGLT-2 inhibitor exposure
221100020,3,No prior SU exposure
221100020,4,No prior other anti-diabetic exposure
221100020,5,Higher cardiovascular risk
221100020,6,Prior metformin use
221100020,7,No prior insulin use or combo initiation
221101000,0,No prior with-in class exposure
221101000,1,No prior DPP4 inhibitor exposure
221101000,2,No prior SGLT-2 inhibitor exposure
221101000,3,No prior SU exposure
221101000,4,No prior other anti-diabetic exposure
221101000,5,Female stratum
221101000,6,Prior metformin use
221101000,7,No prior insulin use or combo initiation
221102000,0,No prior with-in class exposure
221102000,1,No prior DPP4 inhibitor exposure
221102000,2,No prior SGLT-2 inhibitor exposure
221102000,3,No prior SU exposure
221102000,4,No prior other anti-diabetic exposure
221102000,5,Male stratum
221102000,6,Prior metformin use
221102000,7,No prior insulin use or combo initiation
221100100,0,No prior with-in class exposure
221100100,1,No prior DPP4 inhibitor exposure
221100100,2,No prior SGLT-2 inhibitor exposure
221100100,3,No prior SU exposure
221100100,4,No prior other anti-diabetic exposure
221100100,5,Race stratum
221100100,6,Prior metformin use
221100100,7,No prior insulin use or combo initiation
221100001,0,No prior with-in class exposure
221100001,1,No prior DPP4 inhibitor exposure
221100001,2,No prior SGLT-2 inhibitor exposure
221100001,3,No prior SU exposure
221100001,4,No prior other anti-diabetic exposure
221100001,5,Without renal impairment
221100001,6,Prior metformin use
221100001,7,No prior insulin use or combo initiation
221100002,0,No prior with-in class exposure
221100002,1,No prior DPP4 inhibitor exposure
221100002,2,No prior SGLT-2 inhibitor exposure
221100002,3,No prior SU exposure
221100002,4,No prior other anti-diabetic exposure
221100002,5,Renal impairment
221100002,6,Prior metformin use
221100002,7,No prior insulin use or combo initiation
222100000,0,No prior with-in class exposure
222100000,1,No prior DPP4 inhibitor exposure
222100000,2,No prior SGLT-2 inhibitor exposure
222100000,3,No prior SU exposure
222100000,4,No prior other anti-diabetic exposure
222100000,5,Prior metformin use
222100000,6,No prior insulin use or combo initiation
222110000,0,No prior with-in class exposure
222110000,1,No prior DPP4 inhibitor exposure
222110000,2,No prior SGLT-2 inhibitor exposure
222110000,3,No prior SU exposure
222110000,4,No prior other anti-diabetic exposure
222110000,5,Lower age group
222110000,6,Prior metformin use
222110000,7,No prior insulin use or combo initiation
222120000,0,No prior with-in class exposure
222120000,1,No prior DPP4 inhibitor exposure
222120000,2,No prior SGLT-2 inhibitor exposure
222120000,3,No prior SU exposure
222120000,4,No prior other anti-diabetic exposure
222120000,5,Middle age group
222120000,6,Prior metformin use
222120000,7,No prior insulin use or combo initiation
222130000,0,No prior with-in class exposure
222130000,1,No prior DPP4 inhibitor exposure
222130000,2,No prior SGLT-2 inhibitor exposure
222130000,3,No prior SU exposure
222130000,4,No prior other anti-diabetic exposure
222130000,5,Older age group
222130000,6,Prior metformin use
222130000,7,No prior insulin use or combo initiation
222100010,0,No prior with-in class exposure
222100010,1,No prior DPP4 inhibitor exposure
222100010,2,No prior SGLT-2 inhibitor exposure
222100010,3,No prior SU exposure
222100010,4,No prior other anti-diabetic exposure
222100010,5,Low cardiovascular risk
222100010,6,Prior metformin use
222100010,7,No prior insulin use or combo initiation
222100020,0,No prior with-in class exposure
222100020,1,No prior DPP4 inhibitor exposure
222100020,2,No prior SGLT-2 inhibitor exposure
222100020,3,No prior SU exposure
222100020,4,No prior other anti-diabetic exposure
222100020,5,Higher cardiovascular risk
222100020,6,Prior metformin use
222100020,7,No prior insulin use or combo initiation
222101000,0,No prior with-in class exposure
222101000,1,No prior DPP4 inhibitor exposure
222101000,2,No prior SGLT-2 inhibitor exposure
222101000,3,No prior SU exposure
222101000,4,No prior other anti-diabetic exposure
222101000,5,Female stratum
222101000,6,Prior metformin use
222101000,7,No prior insulin use or combo initiation
222102000,0,No prior with-in class exposure
222102000,1,No prior DPP4 inhibitor exposure
222102000,2,No prior SGLT-2 inhibitor exposure
222102000,3,No prior SU exposure
222102000,4,No prior other anti-diabetic exposure
222102000,5,Male stratum
222102000,6,Prior metformin use
222102000,7,No prior insulin use or combo initiation
222100100,0,No prior with-in class exposure
222100100,1,No prior DPP4 inhibitor exposure
222100100,2,No prior SGLT-2 inhibitor exposure
222100100,3,No prior SU exposure
222100100,4,No prior other anti-diabetic exposure
222100100,5,Race stratum
222100100,6,Prior metformin use
222100100,7,No prior insulin use or combo initiation
222100001,0,No prior with-in class exposure
222100001,1,No prior DPP4 inhibitor exposure
222100001,2,No prior SGLT-2 inhibitor exposure
222100001,3,No prior SU exposure
222100001,4,No prior other anti-diabetic exposure
222100001,5,Without renal impairment
222100001,6,Prior metformin use
222100001,7,No prior insulin use or combo initiation
222100002,0,No prior with-in class exposure
222100002,1,No prior DPP4 inhibitor exposure
222100002,2,No prior SGLT-2 inhibitor exposure
222100002,3,No prior SU exposure
222100002,4,No prior other anti-diabetic exposure
222100002,5,Renal impairment
222100002,6,Prior metformin use
222100002,7,No prior insulin use or combo initiation
221200000,0,No prior with-in class exposure
221200000,1,No prior DPP4 inhibitor exposure
221200000,2,No prior SGLT-2 inhibitor exposure
221200000,3,No prior SU exposure
221200000,4,No prior other anti-diabetic exposure
221200000,5,No prior metformin use
221200000,6,No prior insulin use or combo initiation
221210000,0,No prior with-in class exposure
221210000,1,No prior DPP4 inhibitor exposure
221210000,2,No prior SGLT-2 inhibitor exposure
221210000,3,No prior SU exposure
221210000,4,No prior other anti-diabetic exposure
221210000,5,Lower age group
221210000,6,No prior metformin use
221210000,7,No prior insulin use or combo initiation
221220000,0,No prior with-in class exposure
221220000,1,No prior DPP4 inhibitor exposure
221220000,2,No prior SGLT-2 inhibitor exposure
221220000,3,No prior SU exposure
221220000,4,No prior other anti-diabetic exposure
221220000,5,Middle age group
221220000,6,No prior metformin use
221220000,7,No prior insulin use or combo initiation
221230000,0,No prior with-in class exposure
221230000,1,No prior DPP4 inhibitor exposure
221230000,2,No prior SGLT-2 inhibitor exposure
221230000,3,No prior SU exposure
221230000,4,No prior other anti-diabetic exposure
221230000,5,Older age group
221230000,6,No prior metformin use
221230000,7,No prior insulin use or combo initiation
221200010,0,No prior with-in class exposure
221200010,1,No prior DPP4 inhibitor exposure
221200010,2,No prior SGLT-2 inhibitor exposure
221200010,3,No prior SU exposure
221200010,4,No prior other anti-diabetic exposure
221200010,5,Low cardiovascular risk
221200010,6,No prior metformin use
221200010,7,No prior insulin use or combo initiation
221200020,0,No prior with-in class exposure
221200020,1,No prior DPP4 inhibitor exposure
221200020,2,No prior SGLT-2 inhibitor exposure
221200020,3,No prior SU exposure
221200020,4,No prior other anti-diabetic exposure
221200020,5,Higher cardiovascular risk
221200020,6,No prior metformin use
221200020,7,No prior insulin use or combo initiation
221201000,0,No prior with-in class exposure
221201000,1,No prior DPP4 inhibitor exposure
221201000,2,No prior SGLT-2 inhibitor exposure
221201000,3,No prior SU exposure
221201000,4,No prior other anti-diabetic exposure
221201000,5,Female stratum
221201000,6,No prior metformin use
221201000,7,No prior insulin use or combo initiation
221202000,0,No prior with-in class exposure
221202000,1,No prior DPP4 inhibitor exposure
221202000,2,No prior SGLT-2 inhibitor exposure
221202000,3,No prior SU exposure
221202000,4,No prior other anti-diabetic exposure
221202000,5,Male stratum
221202000,6,No prior metformin use
221202000,7,No prior insulin use or combo initiation
221200100,0,No prior with-in class exposure
221200100,1,No prior DPP4 inhibitor exposure
221200100,2,No prior SGLT-2 inhibitor exposure
221200100,3,No prior SU exposure
221200100,4,No prior other anti-diabetic exposure
221200100,5,Race stratum
221200100,6,No prior metformin use
221200100,7,No prior insulin use or combo initiation
221200001,0,No prior with-in class exposure
221200001,1,No prior DPP4 inhibitor exposure
221200001,2,No prior SGLT-2 inhibitor exposure
221200001,3,No prior SU exposure
221200001,4,No prior other anti-diabetic exposure
221200001,5,Without renal impairment
221200001,6,No prior metformin use
221200001,7,No prior insulin use or combo initiation
221200002,0,No prior with-in class exposure
221200002,1,No prior DPP4 inhibitor exposure
221200002,2,No prior SGLT-2 inhibitor exposure
221200002,3,No prior SU exposure
221200002,4,No prior other anti-diabetic exposure
221200002,5,Renal impairment
221200002,6,No prior metformin use
221200002,7,No prior insulin use or combo initiation
222200000,0,No prior with-in class exposure
222200000,1,No prior DPP4 inhibitor exposure
222200000,2,No prior SGLT-2 inhibitor exposure
222200000,3,No prior SU exposure
222200000,4,No prior other anti-diabetic exposure
222200000,5,No prior metformin use
222200000,6,No prior insulin use or combo initiation
222210000,0,No prior with-in class exposure
222210000,1,No prior DPP4 inhibitor exposure
222210000,2,No prior SGLT-2 inhibitor exposure
222210000,3,No prior SU exposure
222210000,4,No prior other anti-diabetic exposure
222210000,5,Lower age group
222210000,6,No prior metformin use
222210000,7,No prior insulin use or combo initiation
222220000,0,No prior with-in class exposure
222220000,1,No prior DPP4 inhibitor exposure
222220000,2,No prior SGLT-2 inhibitor exposure
222220000,3,No prior SU exposure
222220000,4,No prior other anti-diabetic exposure
222220000,5,Middle age group
222220000,6,No prior metformin use
222220000,7,No prior insulin use or combo initiation
222230000,0,No prior with-in class exposure
222230000,1,No prior DPP4 inhibitor exposure
222230000,2,No prior SGLT-2 inhibitor exposure
222230000,3,No prior SU exposure
222230000,4,No prior other anti-diabetic exposure
222230000,5,Older age group
222230000,6,No prior metformin use
222230000,7,No prior insulin use or combo initiation
222200010,0,No prior with-in class exposure
222200010,1,No prior DPP4 inhibitor exposure
222200010,2,No prior SGLT-2 inhibitor exposure
222200010,3,No prior SU exposure
222200010,4,No prior other anti-diabetic exposure
222200010,5,Low cardiovascular risk
222200010,6,No prior metformin use
222200010,7,No prior insulin use or combo initiation
222200020,0,No prior with-in class exposure
222200020,1,No prior DPP4 inhibitor exposure
222200020,2,No prior SGLT-2 inhibitor exposure
222200020,3,No prior SU exposure
222200020,4,No prior other anti-diabetic exposure
222200020,5,Higher cardiovascular risk
222200020,6,No prior metformin use
222200020,7,No prior insulin use or combo initiation
222201000,0,No prior with-in class exposure
222201000,1,No prior DPP4 inhibitor exposure
222201000,2,No prior SGLT-2 inhibitor exposure
222201000,3,No prior SU exposure
222201000,4,No prior other anti-diabetic exposure
222201000,5,Female stratum
222201000,6,No prior metformin use
222201000,7,No prior insulin use or combo initiation
222202000,0,No prior with-in class exposure
222202000,1,No prior DPP4 inhibitor exposure
222202000,2,No prior SGLT-2 inhibitor exposure
222202000,3,No prior SU exposure
222202000,4,No prior other anti-diabetic exposure
222202000,5,Male stratum
222202000,6,No prior metformin use
222202000,7,No prior insulin use or combo initiation
222200100,0,No prior with-in class exposure
222200100,1,No prior DPP4 inhibitor exposure
222200100,2,No prior SGLT-2 inhibitor exposure
222200100,3,No prior SU exposure
222200100,4,No prior other anti-diabetic exposure
222200100,5,Race stratum
222200100,6,No prior metformin use
222200100,7,No prior insulin use or combo initiation
222200001,0,No prior with-in class exposure
222200001,1,No prior DPP4 inhibitor exposure
222200001,2,No prior SGLT-2 inhibitor exposure
222200001,3,No prior SU exposure
222200001,4,No prior other anti-diabetic exposure
222200001,5,Without renal impairment
222200001,6,No prior metformin use
222200001,7,No prior insulin use or combo initiation
222200002,0,No prior with-in class exposure
222200002,1,No prior DPP4 inhibitor exposure
222200002,2,No prior SGLT-2 inhibitor exposure
222200002,3,No prior SU exposure
222200002,4,No prior other anti-diabetic exposure
222200002,5,Renal impairment
222200002,6,No prior metformin use
222200002,7,No prior insulin use or combo initiation
231100000,0,No prior with-in class exposure
231100000,1,No prior DPP4 inhibitor exposure
231100000,2,No prior SGLT-2 inhibitor exposure
231100000,3,No prior SU exposure
231100000,4,No prior other anti-diabetic exposure
231100000,5,Prior metformin use
231100000,6,No prior insulin use or combo initiation
231110000,0,No prior with-in class exposure
231110000,1,No prior DPP4 inhibitor exposure
231110000,2,No prior SGLT-2 inhibitor exposure
231110000,3,No prior SU exposure
231110000,4,No prior other anti-diabetic exposure
231110000,5,Lower age group
231110000,6,Prior metformin use
231110000,7,No prior insulin use or combo initiation
231120000,0,No prior with-in class exposure
231120000,1,No prior DPP4 inhibitor exposure
231120000,2,No prior SGLT-2 inhibitor exposure
231120000,3,No prior SU exposure
231120000,4,No prior other anti-diabetic exposure
231120000,5,Middle age group
231120000,6,Prior metformin use
231120000,7,No prior insulin use or combo initiation
231130000,0,No prior with-in class exposure
231130000,1,No prior DPP4 inhibitor exposure
231130000,2,No prior SGLT-2 inhibitor exposure
231130000,3,No prior SU exposure
231130000,4,No prior other anti-diabetic exposure
231130000,5,Older age group
231130000,6,Prior metformin use
231130000,7,No prior insulin use or combo initiation
231100010,0,No prior with-in class exposure
231100010,1,No prior DPP4 inhibitor exposure
231100010,2,No prior SGLT-2 inhibitor exposure
231100010,3,No prior SU exposure
231100010,4,No prior other anti-diabetic exposure
231100010,5,Low cardiovascular risk
231100010,6,Prior metformin use
231100010,7,No prior insulin use or combo initiation
231100020,0,No prior with-in class exposure
231100020,1,No prior DPP4 inhibitor exposure
231100020,2,No prior SGLT-2 inhibitor exposure
231100020,3,No prior SU exposure
231100020,4,No prior other anti-diabetic exposure
231100020,5,Higher cardiovascular risk
231100020,6,Prior metformin use
231100020,7,No prior insulin use or combo initiation
231101000,0,No prior with-in class exposure
231101000,1,No prior DPP4 inhibitor exposure
231101000,2,No prior SGLT-2 inhibitor exposure
231101000,3,No prior SU exposure
231101000,4,No prior other anti-diabetic exposure
231101000,5,Female stratum
231101000,6,Prior metformin use
