atlasId,atlasName,cohortId,name
141101000,sitagliptin female,141101000,dpp4i/ID141101000
141102000,sitagliptin male,141102000,dpp4i/ID141102000
141100001,sitagliptin -obe,141100001,dpp4i/ID141100001
142100000,sitagliptin main ot2,142100000,dpp4i/ID142100000
142110000,sitagliptin ot2 younger-age,142110000,dpp4i/ID142110000
142130000,sitagliptin ot2 older-age,142130000,dpp4i/ID142130000
142101000,sitagliptin ot2 female,142101000,dpp4i/ID142101000
142102000,sitagliptin ot2 male,142102000,dpp4i/ID142102000
142100001,sitagliptin ot2 -obe,142100001,dpp4i/ID142100001
141200000,sitagliptin main no-met,141200000,dpp4i/ID141200000
141210000,sitagliptin no-met younger-age,141210000,dpp4i/ID141210000
141230000,sitagliptin no-met older-age,141230000,dpp4i/ID141230000
141201000,sitagliptin no-met female,141201000,dpp4i/ID141201000
141202000,sitagliptin no-met male,141202000,dpp4i/ID141202000
141200001,sitagliptin no-met -obe,141200001,dpp4i/ID141200001
142200000,sitagliptin main ot2 no-met,142200000,dpp4i/ID142200000
142210000,sitagliptin ot2 no-met younger-age,142210000,dpp4i/ID142210000
142230000,sitagliptin ot2 no-met older-age,142230000,dpp4i/ID142230000
142201000,sitagliptin ot2 no-met female,142201000,dpp4i/ID142201000
142202000,sitagliptin ot2 no-met male,142202000,dpp4i/ID142202000
142200001,sitagliptin ot2 no-met -obe,142200001,dpp4i/ID142200001
151100000,vildagliptin main,151100000,dpp4i/ID151100000
151110000,vildagliptin younger-age,151110000,dpp4i/ID151110000
151130000,vildagliptin older-age,151130000,dpp4i/ID151130000
151101000,vildagliptin female,151101000,dpp4i/ID151101000
151102000,vildagliptin male,151102000,dpp4i/ID151102000
151100001,vildagliptin -obe,151100001,dpp4i/ID151100001
152100000,vildagliptin main ot2,152100000,dpp4i/ID152100000
152110000,vildagliptin ot2 younger-age,152110000,dpp4i/ID152110000
152130000,vildagliptin ot2 older-age,152130000,dpp4i/ID152130000
152101000,vildagliptin ot2 female,152101000,dpp4i/ID152101000
152102000,vildagliptin ot2 male,152102000,dpp4i/ID152102000
152100001,vildagliptin ot2 -obe,152100001,dpp4i/ID152100001
151200000,vildagliptin main no-met,151200000,dpp4i/ID151200000
151210000,vildagliptin no-met younger-age,151210000,dpp4i/ID151210000
151230000,vildagliptin no-met older-age,151230000,dpp4i/ID151230000
151201000,vildagliptin no-met female,151201000,dpp4i/ID151201000
151202000,vildagliptin no-met male,151202000,dpp4i/ID151202000
151200001,vildagliptin no-met -obe,151200001,dpp4i/ID151200001
152200000,vildagliptin main ot2 no-met,152200000,dpp4i/ID152200000
152210000,vildagliptin ot2 no-met younger-age,152210000,dpp4i/ID152210000
152230000,vildagliptin ot2 no-met older-age,152230000,dpp4i/ID152230000
152201000,vildagliptin ot2 no-met female,152201000,dpp4i/ID152201000
152202000,vildagliptin ot2 no-met male,152202000,dpp4i/ID152202000
152200001,vildagliptin ot2 no-met -obe,152200001,dpp4i/ID152200001
