cohortDefinitionId,ruleSequence,name
3210002,5,Prior metformin use
3210002,6,No prior metformin use
3210002,7,with obesity
3210010,0,No prior with-in class exposure
3210010,1,No prior DPP4 inhibitor exposure
3210010,2,No prior GLP-1 receptor agonist exposure
3210010,3,No prior SU exposure
3210010,4,No prior other anti-diabetic exposure
3210010,5,Female stratum
3210010,6,Prior metformin use
3210010,7,No prior insulin use or combo initiation
3210030,0,No prior with-in class exposure
3210030,1,No prior DPP4 inhibitor exposure
3210030,2,No prior GLP-1 receptor agonist exposure
3210030,3,No prior SU exposure
3210030,4,No prior other anti-diabetic exposure
3210030,5,Male stratum
3210030,6,Prior metformin use
3210030,7,No prior insulin use or combo initiation
3210100,0,No prior with-in class exposure
3210100,1,No prior DPP4 inhibitor exposure
3210100,2,No prior GLP-1 receptor agonist exposure
3210100,3,No prior SU exposure
3210100,4,No prior other anti-diabetic exposure
3210100,5,Lower age group
3210100,6,Prior metformin use
3210100,7,No prior insulin use or combo initiation
3210300,0,No prior with-in class exposure
3210300,1,No prior DPP4 inhibitor exposure
3210300,2,No prior GLP-1 receptor agonist exposure
3210300,3,No prior SU exposure
3210300,4,No prior other anti-diabetic exposure
3210300,5,Young age group
3210300,6,Prior metformin use
3210300,7,No prior insulin use or combo initiation
3211000,0,No prior with-in class exposure
3211000,1,No prior DPP4 inhibitor exposure
3211000,2,No prior GLP-1 receptor agonist exposure
3211000,3,No prior SU exposure
3211000,4,No prior other anti-diabetic exposure
3211000,5,No prior metformin use
3211000,6,No prior insulin use or combo initiation
3211001,0,No prior with-in class exposure
3211001,1,No prior DPP4 inhibitor exposure
3211001,2,No prior GLP-1 receptor agonist exposure
3211001,3,No prior SU exposure
3211001,4,No prior other anti-diabetic exposure
3211001,5,Prior metformin use
3211001,6,No prior insulin use or combo initiation
3211001,7,Without obesity
3211002,0,No prior with-in class exposure
3211002,1,No prior DPP4 inhibitor exposure
3211002,2,No prior GLP-1 receptor agonist exposure
3211002,3,No prior SU exposure
3211002,4,No prior other anti-diabetic exposure
3211002,5,Prior metformin use
3211002,6,No prior insulin use or combo initiation
3211002,7,with obesity
3211010,0,No prior with-in class exposure
3211010,1,No prior DPP4 inhibitor exposure
3211010,2,No prior GLP-1 receptor agonist exposure
3211010,3,No prior SU exposure
3211010,4,No prior other anti-diabetic exposure
3211010,5,Female stratum
3211010,6,No prior metformin use
3211010,7,No prior insulin use or combo initiation
3211030,0,No prior with-in class exposure
3211030,1,No prior DPP4 inhibitor exposure
3211030,2,No prior GLP-1 receptor agonist exposure
3211030,3,No prior SU exposure
3211030,4,No prior other anti-diabetic exposure
3211030,5,Male stratum
3211030,6,No prior metformin use
3211030,7,No prior insulin use or combo initiation
3211100,0,No prior with-in class exposure
3211100,1,No prior DPP4 inhibitor exposure
3211100,2,No prior GLP-1 receptor agonist exposure
3211100,3,No prior SU exposure
3211100,4,No prior other anti-diabetic exposure
3211100,5,Lower age group
3211100,6,No prior metformin use
3211100,7,No prior insulin use or combo initiation
3211300,0,No prior with-in class exposure
3211300,1,No prior DPP4 inhibitor exposure
3211300,2,No prior GLP-1 receptor agonist exposure
3211300,3,No prior SU exposure
3211300,4,No prior other anti-diabetic exposure
3211300,5,Young age group
3211300,6,No prior metformin use
3211300,7,No prior insulin use or combo initiation
3220000,0,No prior with-in class exposure
3220000,1,No prior DPP4 inhibitor exposure
3220000,2,No prior GLP-1 receptor agonist exposure
3220000,3,No prior SU exposure
3220000,4,No prior other anti-diabetic exposure
3220000,5,Prior metformin use
3220000,6,No prior insulin use or combo initiation
3220001,0,No prior with-in class exposure
3220001,1,No prior DPP4 inhibitor exposure
3220001,2,No prior GLP-1 receptor agonist exposure
3220001,3,No prior SU exposure
3220001,4,No prior other anti-diabetic exposure
3220001,5,Prior metformin use
3220001,6,No prior metformin use
3220001,7,Without obesity
3220002,0,No prior with-in class exposure
3220002,1,No prior DPP4 inhibitor exposure
3220002,2,No prior GLP-1 receptor agonist exposure
3220002,3,No prior SU exposure
3220002,4,No prior other anti-diabetic exposure
3220002,5,Prior metformin use
3220002,6,No prior metformin use
3220002,7,with obesity
3220010,0,No prior with-in class exposure
3220010,1,No prior DPP4 inhibitor exposure
3220010,2,No prior GLP-1 receptor agonist exposure
3220010,3,No prior SU exposure
3220010,4,No prior other anti-diabetic exposure
3220010,5,Female stratum
3220010,6,Prior metformin use
3220010,7,No prior insulin use or combo initiation
3220030,0,No prior with-in class exposure
3220030,1,No prior DPP4 inhibitor exposure
3220030,2,No prior GLP-1 receptor agonist exposure
3220030,3,No prior SU exposure
3220030,4,No prior other anti-diabetic exposure
3220030,5,Male stratum
3220030,6,Prior metformin use
3220030,7,No prior insulin use or combo initiation
3220100,0,No prior with-in class exposure
3220100,1,No prior DPP4 inhibitor exposure
3220100,2,No prior GLP-1 receptor agonist exposure
3220100,3,No prior SU exposure
3220100,4,No prior other anti-diabetic exposure
3220100,5,Lower age group
3220100,6,Prior metformin use
3220100,7,No prior insulin use or combo initiation
3220300,0,No prior with-in class exposure
3220300,1,No prior DPP4 inhibitor exposure
3220300,2,No prior GLP-1 receptor agonist exposure
3220300,3,No prior SU exposure
3220300,4,No prior other anti-diabetic exposure
3220300,5,Young age group
3220300,6,Prior metformin use
3220300,7,No prior insulin use or combo initiation
3221000,0,No prior with-in class exposure
3221000,1,No prior DPP4 inhibitor exposure
3221000,2,No prior GLP-1 receptor agonist exposure
3221000,3,No prior SU exposure
3221000,4,No prior other anti-diabetic exposure
3221000,5,No prior metformin use
3221000,6,No prior insulin use or combo initiation
3221001,0,No prior with-in class exposure
3221001,1,No prior DPP4 inhibitor exposure
3221001,2,No prior GLP-1 receptor agonist exposure
3221001,3,No prior SU exposure
3221001,4,No prior other anti-diabetic exposure
3221001,5,Prior metformin use
3221001,6,No prior insulin use or combo initiation
3221001,7,Without obesity
3221002,0,No prior with-in class exposure
3221002,1,No prior DPP4 inhibitor exposure
3221002,2,No prior GLP-1 receptor agonist exposure
3221002,3,No prior SU exposure
3221002,4,No prior other anti-diabetic exposure
3221002,5,Prior metformin use
3221002,6,No prior insulin use or combo initiation
3221002,7,with obesity
3221010,0,No prior with-in class exposure
3221010,1,No prior DPP4 inhibitor exposure
3221010,2,No prior GLP-1 receptor agonist exposure
3221010,3,No prior SU exposure
3221010,4,No prior other anti-diabetic exposure
3221010,5,Female stratum
3221010,6,No prior metformin use
3221010,7,No prior insulin use or combo initiation
3221030,0,No prior with-in class exposure
3221030,1,No prior DPP4 inhibitor exposure
3221030,2,No prior GLP-1 receptor agonist exposure
3221030,3,No prior SU exposure
3221030,4,No prior other anti-diabetic exposure
3221030,5,Male stratum
3221030,6,No prior metformin use
3221030,7,No prior insulin use or combo initiation
3221100,0,No prior with-in class exposure
3221100,1,No prior DPP4 inhibitor exposure
3221100,2,No prior GLP-1 receptor agonist exposure
3221100,3,No prior SU exposure
3221100,4,No prior other anti-diabetic exposure
3221100,5,Lower age group
3221100,6,No prior metformin use
3221100,7,No prior insulin use or combo initiation
3221300,0,No prior with-in class exposure
3221300,1,No prior DPP4 inhibitor exposure
3221300,2,No prior GLP-1 receptor agonist exposure
3221300,3,No prior SU exposure
3221300,4,No prior other anti-diabetic exposure
3221300,5,Young age group
3221300,6,No prior metformin use
3221300,7,No prior insulin use or combo initiation
3310000,0,No prior with-in class exposure
3310000,1,No prior DPP4 inhibitor exposure
3310000,2,No prior GLP-1 receptor agonist exposure
3310000,3,No prior SU exposure
3310000,4,No prior other anti-diabetic exposure
3310000,5,Prior metformin use
3310000,6,No prior insulin use or combo initiation
3310001,0,No prior with-in class exposure
3310001,1,No prior DPP4 inhibitor exposure
3310001,2,No prior GLP-1 receptor agonist exposure
3310001,3,No prior SU exposure
3310001,4,No prior other anti-diabetic exposure
3310001,5,Prior metformin use
3310001,6,No prior metformin use
3310001,7,Without obesity
3310002,0,No prior with-in class exposure
3310002,1,No prior DPP4 inhibitor exposure
3310002,2,No prior GLP-1 receptor agonist exposure
3310002,3,No prior SU exposure
3310002,4,No prior other anti-diabetic exposure
3310002,5,Prior metformin use
3310002,6,No prior metformin use
3310002,7,with obesity
3310010,0,No prior with-in class exposure
3310010,1,No prior DPP4 inhibitor exposure
3310010,2,No prior GLP-1 receptor agonist exposure
3310010,3,No prior SU exposure
3310010,4,No prior other anti-diabetic exposure
3310010,5,Female stratum
3310010,6,Prior metformin use
3310010,7,No prior insulin use or combo initiation
3310030,0,No prior with-in class exposure
3310030,1,No prior DPP4 inhibitor exposure
3310030,2,No prior GLP-1 receptor agonist exposure
3310030,3,No prior SU exposure
3310030,4,No prior other anti-diabetic exposure
3310030,5,Male stratum
3310030,6,Prior metformin use
3310030,7,No prior insulin use or combo initiation
3310100,0,No prior with-in class exposure
3310100,1,No prior DPP4 inhibitor exposure
3310100,2,No prior GLP-1 receptor agonist exposure
3310100,3,No prior SU exposure
3310100,4,No prior other anti-diabetic exposure
3310100,5,Lower age group
3310100,6,Prior metformin use
3310100,7,No prior insulin use or combo initiation
3310300,0,No prior with-in class exposure
3310300,1,No prior DPP4 inhibitor exposure
3310300,2,No prior GLP-1 receptor agonist exposure
3310300,3,No prior SU exposure
3310300,4,No prior other anti-diabetic exposure
3310300,5,Young age group
3310300,6,Prior metformin use
3310300,7,No prior insulin use or combo initiation
3311000,0,No prior with-in class exposure
3311000,1,No prior DPP4 inhibitor exposure
3311000,2,No prior GLP-1 receptor agonist exposure
3311000,3,No prior SU exposure
3311000,4,No prior other anti-diabetic exposure
3311000,5,No prior metformin use
3311000,6,No prior insulin use or combo initiation
3311001,0,No prior with-in class exposure
3311001,1,No prior DPP4 inhibitor exposure
3311001,2,No prior GLP-1 receptor agonist exposure
3311001,3,No prior SU exposure
3311001,4,No prior other anti-diabetic exposure
3311001,5,Prior metformin use
3311001,6,No prior insulin use or combo initiation
3311001,7,Without obesity
3311002,0,No prior with-in class exposure
3311002,1,No prior DPP4 inhibitor exposure
3311002,2,No prior GLP-1 receptor agonist exposure
3311002,3,No prior SU exposure
3311002,4,No prior other anti-diabetic exposure
3311002,5,Prior metformin use
3311002,6,No prior insulin use or combo initiation
3311002,7,with obesity
3311010,0,No prior with-in class exposure
3311010,1,No prior DPP4 inhibitor exposure
3311010,2,No prior GLP-1 receptor agonist exposure
3311010,3,No prior SU exposure
3311010,4,No prior other anti-diabetic exposure
3311010,5,Female stratum
3311010,6,No prior metformin use
3311010,7,No prior insulin use or combo initiation
3311030,0,No prior with-in class exposure
3311030,1,No prior DPP4 inhibitor exposure
3311030,2,No prior GLP-1 receptor agonist exposure
3311030,3,No prior SU exposure
3311030,4,No prior other anti-diabetic exposure
3311030,5,Male stratum
3311030,6,No prior metformin use
3311030,7,No prior insulin use or combo initiation
3311100,0,No prior with-in class exposure
3311100,1,No prior DPP4 inhibitor exposure
3311100,2,No prior GLP-1 receptor agonist exposure
3311100,3,No prior SU exposure
3311100,4,No prior other anti-diabetic exposure
3311100,5,Lower age group
3311100,6,No prior metformin use
3311100,7,No prior insulin use or combo initiation
3311300,0,No prior with-in class exposure
3311300,1,No prior DPP4 inhibitor exposure
3311300,2,No prior GLP-1 receptor agonist exposure
3311300,3,No prior SU exposure
3311300,4,No prior other anti-diabetic exposure
3311300,5,Young age group
3311300,6,No prior metformin use
3311300,7,No prior insulin use or combo initiation
3320000,0,No prior with-in class exposure
3320000,1,No prior DPP4 inhibitor exposure
3320000,2,No prior GLP-1 receptor agonist exposure
3320000,3,No prior SU exposure
3320000,4,No prior other anti-diabetic exposure
3320000,5,Prior metformin use
3320000,6,No prior insulin use or combo initiation
3320001,0,No prior with-in class exposure
3320001,1,No prior DPP4 inhibitor exposure
3320001,2,No prior GLP-1 receptor agonist exposure
3320001,3,No prior SU exposure
3320001,4,No prior other anti-diabetic exposure
3320001,5,Prior metformin use
3320001,6,No prior metformin use
3320001,7,Without obesity
3320002,0,No prior with-in class exposure
3320002,1,No prior DPP4 inhibitor exposure
3320002,2,No prior GLP-1 receptor agonist exposure
3320002,3,No prior SU exposure
3320002,4,No prior other anti-diabetic exposure
3320002,5,Prior metformin use
3320002,6,No prior metformin use
3320002,7,with obesity
3320010,0,No prior with-in class exposure
3320010,1,No prior DPP4 inhibitor exposure
3320010,2,No prior GLP-1 receptor agonist exposure
3320010,3,No prior SU exposure
3320010,4,No prior other anti-diabetic exposure
3320010,5,Female stratum
3320010,6,Prior metformin use
3320010,7,No prior insulin use or combo initiation
3320030,0,No prior with-in class exposure
3320030,1,No prior DPP4 inhibitor exposure
3320030,2,No prior GLP-1 receptor agonist exposure
3320030,3,No prior SU exposure
3320030,4,No prior other anti-diabetic exposure
3320030,5,Male stratum
3320030,6,Prior metformin use
3320030,7,No prior insulin use or combo initiation
3320100,0,No prior with-in class exposure
3320100,1,No prior DPP4 inhibitor exposure
3320100,2,No prior GLP-1 receptor agonist exposure
3320100,3,No prior SU exposure
3320100,4,No prior other anti-diabetic exposure
3320100,5,Lower age group
3320100,6,Prior metformin use
3320100,7,No prior insulin use or combo initiation
3320300,0,No prior with-in class exposure
3320300,1,No prior DPP4 inhibitor exposure
3320300,2,No prior GLP-1 receptor agonist exposure
3320300,3,No prior SU exposure
3320300,4,No prior other anti-diabetic exposure
3320300,5,Young age group
3320300,6,Prior metformin use
3320300,7,No prior insulin use or combo initiation
3321000,0,No prior with-in class exposure
3321000,1,No prior DPP4 inhibitor exposure
3321000,2,No prior GLP-1 receptor agonist exposure
3321000,3,No prior SU exposure
3321000,4,No prior other anti-diabetic exposure
3321000,5,No prior metformin use
3321000,6,No prior insulin use or combo initiation
3321001,0,No prior with-in class exposure
3321001,1,No prior DPP4 inhibitor exposure
3321001,2,No prior GLP-1 receptor agonist exposure
3321001,3,No prior SU exposure
3321001,4,No prior other anti-diabetic exposure
3321001,5,Prior metformin use
3321001,6,No prior insulin use or combo initiation
3321001,7,Without obesity
3321002,0,No prior with-in class exposure
3321002,1,No prior DPP4 inhibitor exposure
3321002,2,No prior GLP-1 receptor agonist exposure
3321002,3,No prior SU exposure
3321002,4,No prior other anti-diabetic exposure
3321002,5,Prior metformin use
3321002,6,No prior insulin use or combo initiation
3321002,7,with obesity
3321010,0,No prior with-in class exposure
3321010,1,No prior DPP4 inhibitor exposure
3321010,2,No prior GLP-1 receptor agonist exposure
3321010,3,No prior SU exposure
3321010,4,No prior other anti-diabetic exposure
3321010,5,Female stratum
3321010,6,No prior metformin use
3321010,7,No prior insulin use or combo initiation
3321030,0,No prior with-in class exposure
3321030,1,No prior DPP4 inhibitor exposure
3321030,2,No prior GLP-1 receptor agonist exposure
3321030,3,No prior SU exposure
3321030,4,No prior other anti-diabetic exposure
3321030,5,Male stratum
3321030,6,No prior metformin use
3321030,7,No prior insulin use or combo initiation
3321100,0,No prior with-in class exposure
3321100,1,No prior DPP4 inhibitor exposure
3321100,2,No prior GLP-1 receptor agonist exposure
3321100,3,No prior SU exposure
3321100,4,No prior other anti-diabetic exposure
3321100,5,Lower age group
3321100,6,No prior metformin use
3321100,7,No prior insulin use or combo initiation
3321300,0,No prior with-in class exposure
3321300,1,No prior DPP4 inhibitor exposure
3321300,2,No prior GLP-1 receptor agonist exposure
3321300,3,No prior SU exposure
3321300,4,No prior other anti-diabetic exposure
3321300,5,Young age group
3321300,6,No prior metformin use
3321300,7,No prior insulin use or combo initiation
3410000,0,No prior with-in class exposure
3410000,1,No prior DPP4 inhibitor exposure
3410000,2,No prior GLP-1 receptor agonist exposure
3410000,3,No prior SU exposure
3410000,4,No prior other anti-diabetic exposure
3410000,5,Prior metformin use
3410000,6,No prior insulin use or combo initiation
3410001,0,No prior with-in class exposure
3410001,1,No prior DPP4 inhibitor exposure
3410001,2,No prior GLP-1 receptor agonist exposure
3410001,3,No prior SU exposure
3410001,4,No prior other anti-diabetic exposure
3410001,5,Prior metformin use
3410001,6,No prior metformin use
3410001,7,Without obesity
3410002,0,No prior with-in class exposure
3410002,1,No prior DPP4 inhibitor exposure
3410002,2,No prior GLP-1 receptor agonist exposure
3410002,3,No prior SU exposure
3410002,4,No prior other anti-diabetic exposure
3410002,5,Prior metformin use
3410002,6,No prior metformin use
3410002,7,with obesity
3410010,0,No prior with-in class exposure
3410010,1,No prior DPP4 inhibitor exposure
3410010,2,No prior GLP-1 receptor agonist exposure
3410010,3,No prior SU exposure
3410010,4,No prior other anti-diabetic exposure
3410010,5,Female stratum
3410010,6,Prior metformin use
3410010,7,No prior insulin use or combo initiation
3410030,0,No prior with-in class exposure
3410030,1,No prior DPP4 inhibitor exposure
3410030,2,No prior GLP-1 receptor agonist exposure
3410030,3,No prior SU exposure
3410030,4,No prior other anti-diabetic exposure
3410030,5,Male stratum
3410030,6,Prior metformin use
3410030,7,No prior insulin use or combo initiation
3410100,0,No prior with-in class exposure
3410100,1,No prior DPP4 inhibitor exposure
3410100,2,No prior GLP-1 receptor agonist exposure
3410100,3,No prior SU exposure
3410100,4,No prior other anti-diabetic exposure
3410100,5,Lower age group
3410100,6,Prior metformin use
3410100,7,No prior insulin use or combo initiation
3410300,0,No prior with-in class exposure
3410300,1,No prior DPP4 inhibitor exposure
3410300,2,No prior GLP-1 receptor agonist exposure
3410300,3,No prior SU exposure
3410300,4,No prior other anti-diabetic exposure
3410300,5,Young age group
3410300,6,Prior metformin use
3410300,7,No prior insulin use or combo initiation
3411000,0,No prior with-in class exposure
3411000,1,No prior DPP4 inhibitor exposure
3411000,2,No prior GLP-1 receptor agonist exposure
3411000,3,No prior SU exposure
3411000,4,No prior other anti-diabetic exposure
3411000,5,No prior metformin use
3411000,6,No prior insulin use or combo initiation
3411001,0,No prior with-in class exposure
3411001,1,No prior DPP4 inhibitor exposure
3411001,2,No prior GLP-1 receptor agonist exposure
3411001,3,No prior SU exposure
3411001,4,No prior other anti-diabetic exposure
3411001,5,Prior metformin use
3411001,6,No prior insulin use or combo initiation
3411001,7,Without obesity
3411002,0,No prior with-in class exposure
3411002,1,No prior DPP4 inhibitor exposure
3411002,2,No prior GLP-1 receptor agonist exposure
3411002,3,No prior SU exposure
3411002,4,No prior other anti-diabetic exposure
3411002,5,Prior metformin use
3411002,6,No prior insulin use or combo initiation
3411002,7,with obesity
3411010,0,No prior with-in class exposure
3411010,1,No prior DPP4 inhibitor exposure
3411010,2,No prior GLP-1 receptor agonist exposure
3411010,3,No prior SU exposure
3411010,4,No prior other anti-diabetic exposure
3411010,5,Female stratum
3411010,6,No prior metformin use
3411010,7,No prior insulin use or combo initiation
3411030,0,No prior with-in class exposure
3411030,1,No prior DPP4 inhibitor exposure
3411030,2,No prior GLP-1 receptor agonist exposure
3411030,3,No prior SU exposure
3411030,4,No prior other anti-diabetic exposure
3411030,5,Male stratum
3411030,6,No prior metformin use
3411030,7,No prior insulin use or combo initiation
3411100,0,No prior with-in class exposure
3411100,1,No prior DPP4 inhibitor exposure
3411100,2,No prior GLP-1 receptor agonist exposure
3411100,3,No prior SU exposure
3411100,4,No prior other anti-diabetic exposure
3411100,5,Lower age group
3411100,6,No prior metformin use
